Machine_ID,Temperature,Run_Time,Downtime_Flag
M586,48.4,328,0
M309,10.5,246,1
M844,65.4,373,0
M666,86.1,270,1
M200,62.3,253,0
M343,24.5,122,1
M972,50.0,140,1
M387,41.9,157,1
M365,49.6,157,1
M036,37.9,356,0
M718,35.3,251,0
M614,84.9,218,0
M704,41.1,47,1
M870,40.0,404,1
M806,70.3,226,0
M511,27.2,108,1
M904,28.7,12,0
M460,82.4,365,1
M136,74.0,285,0
M463,82.2,379,1
M527,69.5,301,0
M369,42.8,351,0
M959,84.7,59,0
M662,32.2,322,0
M285,31.1,267,0
M260,34.2,174,1
M269,73.3,207,0
M028,70.7,235,0
M468,75.4,11,1
M252,31.3,317,1
M693,57.8,131,0
M849,12.1,84,1
M731,55.9,320,0
M764,54.7,238,0
M488,45.3,201,0
M674,16.6,372,0
M050,25.3,356,1
M090,27.1,321,1
M416,99.6,425,1
M078,29.6,56,1
M834,50.5,115,1
M836,53.0,200,0
M977,82.5,432,0
M760,41.4,464,0
M337,34.5,313,1
M122,51.4,115,1
M904,46.1,155,0
M009,85.5,123,1
M1000,98.5,43,0
M553,22.8,107,1
M986,83.4,258,0
M612,50.3,46,0
M029,18.9,306,1
M161,83.9,477,0
M390,99.5,186,0
M192,63.2,80,1
M525,38.6,407,0
M029,69.8,19,1
M239,39.7,362,0
M143,82.3,362,1
M609,89.4,187,0
M619,53.6,178,0
M713,97.0,251,0
M029,89.8,71,1
M068,21.2,170,1
M521,28.3,427,0
M606,21.5,383,1
M637,21.1,151,0
M615,95.2,273,0
M836,22.1,309,1
M153,45.4,287,1
M191,100.0,325,0
M469,47.5,22,1
M228,10.7,71,1
M950,92.4,66,0
M927,60.1,465,1
M300,17.1,321,1
M132,32.2,148,1
M841,52.9,49,0
M152,68.5,38,1
M137,26.5,430,0
M209,78.5,406,1
M544,55.9,474,0
M255,27.3,213,0
M935,52.2,421,1
M345,97.1,236,1
M087,81.3,157,1
M909,87.1,10,0
M135,46.2,50,1
M624,64.0,60,1
M239,40.3,319,0
M556,42.6,436,0
M557,74.2,71,0
M609,62.8,59,1
M994,40.4,110,0
M722,77.9,46,0
M581,51.3,410,1
M714,79.7,269,1
M297,61.2,311,0
M402,16.7,404,0
M940,93.4,109,1
M120,39.8,270,0
M014,57.6,132,1
M883,18.1,290,1
M724,10.1,422,0
M130,42.4,133,0
M504,33.8,293,0
M470,15.7,422,0
M943,65.9,306,0
M426,21.5,169,0
M143,67.2,50,0
M878,74.4,473,1
M664,60.9,47,0
M101,82.9,144,0
M588,64.2,161,0
M525,13.8,113,1
M465,16.0,168,1
M591,98.6,348,0
M930,72.0,34,1
M052,31.8,128,1
M561,64.7,347,1
M023,10.7,45,0
M428,66.5,354,0
M909,83.5,383,0
M556,22.8,116,0
M451,90.0,68,1
M159,78.5,349,1
M350,65.9,419,0
M908,91.6,441,1
M008,72.3,179,1
M493,33.9,45,1
M035,99.6,109,0
M576,76.6,200,1
M834,53.6,131,1
M564,88.6,118,1
M681,83.8,440,0
M876,50.7,313,0
M778,70.5,430,0
M557,83.3,106,1
M821,97.8,419,1
M161,88.3,390,0
M845,32.5,299,0
M182,86.1,258,1
M209,11.7,389,0
M775,13.9,285,1
M636,60.9,307,1
M141,20.4,13,1
M457,39.5,464,1
M687,75.4,234,0
M989,42.1,298,0
M569,71.2,362,1
M837,31.8,402,0
M829,77.5,83,0
M592,32.7,235,1
M673,36.3,73,0
M429,97.1,249,0
M840,82.4,277,0
M885,35.2,127,1
M372,67.4,368,0
M735,12.2,394,1
M039,57.4,450,1
M508,61.6,354,1
M123,11.5,175,0
M937,88.4,463,0
M691,25.6,43,0
M814,32.7,268,0
M086,70.7,65,1
M692,24.3,158,0
M678,54.3,438,1
M259,51.4,443,0
M672,95.9,218,1
M074,26.6,451,0
M984,57.8,56,1
M090,74.5,372,1
M419,11.2,374,0
M452,29.9,157,0
M950,93.1,312,0
M196,35.1,59,0
M423,40.4,167,1
M825,41.5,421,1
M156,72.1,198,1
M029,51.5,177,1
M455,23.9,469,0
M946,23.7,346,0
M630,25.5,115,1
M370,13.9,427,0
M970,28.7,477,0
M696,82.2,193,1
M385,23.5,395,1
M704,19.2,222,1
M126,72.4,202,1
M612,23.6,302,0
M799,36.4,363,1
M735,74.8,391,1
M132,81.2,153,1
M221,46.6,262,0
M481,82.3,70,1
M765,92.2,292,1
M515,48.4,336,1
M759,13.1,213,1
M305,32.5,276,1
M305,85.1,184,0
M172,10.4,63,0
M205,61.4,446,1
M927,18.1,250,0
M602,93.7,291,1
M412,55.2,38,0
M486,11.0,148,1
M506,22.7,58,1
M359,76.1,124,1
M467,40.5,387,1
M352,89.4,370,1
M377,61.2,86,0
M501,60.4,215,1
M189,11.0,474,0
M163,62.1,191,0
M730,27.2,124,0
M851,64.3,150,1
M384,39.6,269,0
M960,42.0,378,1
M115,86.0,323,1
M336,70.8,414,0
M364,35.4,437,1
M528,57.7,416,1
M381,97.8,342,0
M324,91.5,253,0
M654,62.8,387,0
M617,79.8,292,1
M499,18.3,60,1
M636,75.7,372,0
M289,10.3,282,1
M144,90.4,180,0
M979,45.7,270,1
M324,24.6,454,0
M726,38.6,459,0
M727,92.4,407,0
M365,35.5,274,1
M841,54.2,378,0
M152,45.7,130,1
M474,27.7,388,0
M661,87.3,426,1
M974,32.7,84,1
M801,43.0,470,1
M731,56.2,22,1
M720,62.5,391,1
M424,30.8,249,0
M932,85.9,196,1
M599,41.2,223,1
M144,13.3,394,0
M810,94.9,469,1
M608,99.0,286,0
M141,15.4,255,0
M240,93.3,466,1
M905,18.8,395,1
M677,42.7,73,1
M882,42.4,108,1
M894,73.6,399,0
M937,84.1,237,1
M731,59.1,317,0
M021,75.3,171,0
M568,63.4,330,0
M717,23.1,322,1
M376,92.7,64,1
M613,71.8,285,0
M784,81.7,436,0
M298,80.9,334,1
M361,96.4,66,0
M817,90.7,81,0
M259,84.4,308,1
M072,62.2,95,0
M099,48.3,195,1
M072,75.1,264,0
M401,82.9,32,0
M008,36.8,238,1
M661,47.9,443,1
M661,97.4,387,0
M845,49.8,230,1
M114,17.4,66,1
M585,91.7,123,0
M792,50.3,131,0
M620,66.9,278,0
M882,89.1,338,0
M511,44.7,217,0
M062,46.3,226,0
M341,49.3,318,1
M799,34.6,427,0
M745,36.1,103,0
M563,96.9,158,1
M148,48.2,164,0
M953,86.7,450,0
M059,78.4,430,0
M960,50.6,319,0
M908,57.4,126,1
M879,91.7,261,0
M194,71.3,376,0
M362,15.4,366,0
M811,30.1,248,0
M186,42.2,343,0
M574,40.7,10,0
M893,53.4,427,1
M023,47.9,327,1
M807,17.3,369,0
M588,69.5,155,0
M566,98.7,457,0
M829,88.8,91,0
M252,39.1,96,1
M413,46.2,386,1
M197,92.2,417,1
M259,14.9,237,0
M089,59.9,366,1
M147,63.1,367,1
M007,83.2,328,0
M451,76.0,63,0
M245,58.6,476,1
M299,83.3,330,1
M664,73.1,164,1
M581,90.6,244,1
M877,38.9,291,0
M517,42.2,389,1
M386,85.7,190,1
M319,79.9,464,0
M270,61.0,380,0
M045,68.4,52,0
M941,62.5,62,0
M782,93.4,216,1
M317,49.5,413,0
M276,88.6,84,0
M172,64.7,322,1
M587,13.8,214,0
M987,83.8,302,0
M028,29.1,76,0
M846,10.7,50,1
M046,16.9,149,0
M544,68.0,380,0
M065,94.0,410,1
M691,15.0,305,0
M932,68.0,351,1
M213,63.1,157,0
M299,14.6,390,0
M085,10.5,365,1
M519,65.9,415,0
M518,21.0,211,0
M320,24.8,73,0
M645,90.0,105,1
M799,38.8,363,0
M835,98.2,480,1
M826,94.3,214,0
M273,14.0,48,0
M383,92.0,398,1
M900,10.3,124,0
M456,26.1,183,1
M666,36.3,260,1
M124,88.3,80,1
M172,77.3,424,1
M111,92.5,359,1
M003,46.5,352,0
M786,29.1,401,1
M210,62.4,203,0
M408,26.4,478,1
M218,52.8,34,0
M835,84.0,420,0
M221,69.0,59,0
M704,25.9,293,0
M596,19.2,25,0
M238,93.5,366,1
M647,89.5,319,0
M646,37.5,415,1
M980,52.1,349,1
M017,18.6,298,1
M243,47.1,410,1
M520,22.0,164,1
M886,16.0,427,1
M279,82.5,158,0
M259,23.6,207,1
M566,66.9,356,0
M429,45.5,333,1
M968,72.5,468,0
M163,81.0,181,1
M211,85.4,293,1
M505,80.9,381,0
M982,38.5,378,0
M895,36.9,325,0
M939,18.9,359,1
M301,74.0,142,1
M066,78.1,332,1
M129,26.7,196,1
M325,78.7,284,1
M216,96.6,385,0
M157,16.6,326,1
M600,76.1,108,0
M638,96.0,95,1
M120,58.2,389,0
M026,45.5,197,0
M088,97.4,275,1
M637,19.9,316,1
M315,68.6,164,0
M860,13.5,118,1
M298,59.6,298,1
M994,78.5,45,1
M527,19.0,297,1
M529,36.5,189,0
M926,78.7,143,0
M301,66.6,272,0
M314,55.5,212,0
M476,15.2,154,0
M246,94.9,281,1
M489,22.6,187,0
M950,42.3,26,0
M743,70.7,162,1
M141,50.2,280,1
M093,40.2,433,1
M359,30.9,336,1
M812,28.3,266,0
M394,71.6,354,0
M818,97.1,431,1
M880,19.7,125,1
M514,70.3,283,0
M706,73.4,156,1
M592,67.6,282,1
M108,26.6,212,0
M275,59.4,224,1
M237,27.5,44,1
M457,25.8,464,1
M578,80.9,220,1
M879,36.8,292,1
M593,83.9,166,1
M902,77.7,169,1
M782,84.9,172,0
M617,35.6,343,1
M880,34.2,188,0
M419,14.1,464,0
M401,35.2,224,0
M431,40.4,108,0
M018,84.6,134,0
M446,21.6,347,1
M139,43.9,71,0
M340,20.8,153,1
M516,94.6,35,0
M809,16.6,247,0
M989,42.6,472,0
M832,75.6,111,0
M757,59.7,310,0
M232,90.0,345,1
M435,98.4,91,1
M119,92.6,70,1
M957,59.8,151,1
M589,57.8,124,0
M362,90.8,469,0
M481,25.3,259,0
M420,73.7,261,1
M333,86.2,324,0
M684,45.0,82,0
M672,52.2,93,1
M180,82.3,47,1
M481,26.9,294,0
M356,99.9,133,0
M564,22.5,369,0
M211,94.7,401,0
M484,20.1,291,1
M018,28.6,173,1
M374,79.7,295,0
M971,27.2,283,1
M186,58.9,187,0
M587,46.6,156,1
M795,96.8,205,1
M302,78.0,201,0
M345,89.7,337,1
M927,25.1,421,0
M404,92.8,411,1
M746,62.1,20,1
M394,96.2,338,0
M544,63.6,433,1
M412,52.3,151,0
M274,95.9,256,1
M561,94.3,461,0
M313,29.7,19,0
M702,93.4,12,1
M237,42.0,188,1
M652,83.3,167,0
M235,88.5,92,1
M763,32.7,25,0
M324,16.6,91,1
M423,50.0,111,1
M636,64.5,221,0
M805,53.1,358,0
M871,75.1,412,1
M633,87.5,177,0
M049,24.1,446,0
M727,33.3,453,0
M401,63.1,109,0
M812,76.0,291,1
M650,86.3,362,1
M695,29.7,19,0
M269,46.8,353,0
M411,81.1,88,0
M719,37.3,383,0
M044,29.2,459,1
M098,31.8,436,1
M330,22.4,246,0
M396,37.0,229,1
M550,24.9,62,1
M554,81.8,190,0
M209,18.0,49,1
M805,22.8,392,0
M071,49.0,34,1
M914,46.9,174,1
M729,94.4,383,0
M939,31.7,127,0
M445,89.7,368,1
M790,36.4,102,0
M790,20.7,120,1
M676,87.0,325,1
M388,66.5,429,0
M622,11.2,152,1
M183,18.3,404,1
M738,80.5,186,1
M870,81.5,27,1
M805,34.2,13,1
M807,90.8,156,0
M047,83.5,312,1
M652,91.1,458,0
M313,76.4,423,0
M994,39.9,208,0
M623,45.2,311,1
M877,55.5,134,0
M266,59.4,97,1
M859,13.5,196,1
M629,58.4,150,1
M180,99.5,85,1
M706,33.0,168,1
M128,43.7,336,1
M713,30.5,451,0
M044,53.3,217,0
M045,28.1,41,1
M917,52.6,315,1
M842,42.0,211,1
M443,47.9,108,0
M689,40.0,196,0
M931,61.8,334,0
M353,60.8,88,0
M630,16.1,177,1
M641,61.5,411,1
M869,61.9,123,0
M933,87.1,134,1
M588,92.1,380,1
M092,62.6,161,1
M392,22.9,289,0
M876,18.5,316,1
M798,88.5,351,0
M298,90.2,68,1
M236,52.7,45,0
M213,46.5,326,1
M238,88.9,316,1
M353,70.1,122,0
M329,53.1,94,0
M735,71.5,331,0
M431,68.7,430,1
M365,98.3,394,0
M883,16.4,131,1
M702,39.4,360,1
M800,38.1,113,0
M756,63.8,51,0
M126,93.5,122,1
M768,27.0,424,0
M100,85.9,387,0
M786,73.9,152,1
M574,43.6,389,1
M813,95.0,127,1
M622,99.3,463,0
M286,81.3,239,1
M255,65.2,310,0
M667,47.5,222,1
M264,14.5,83,1
M787,84.0,77,0
M990,24.5,309,1
M591,93.5,361,0
M857,56.0,454,0
M369,40.5,373,0
M193,29.3,428,1
M718,83.4,60,1
M419,49.9,31,1
M991,16.5,195,0
M320,72.7,467,0
M985,22.8,158,1
M422,90.7,199,0
M225,69.1,42,0
M797,39.4,85,1
M142,55.3,424,1
M465,21.8,417,0
M043,72.5,364,1
M331,62.4,188,1
M299,46.7,203,1
M234,52.6,64,0
M859,70.0,58,0
M826,89.3,70,0
M640,78.2,276,0
M217,70.6,401,0
M302,31.7,448,1
M071,78.5,109,0
M716,40.7,163,1
M472,78.6,70,1
M966,66.8,383,1
M937,95.9,50,1
M122,86.1,460,1
M736,24.8,81,1
M453,86.3,24,0
M831,49.9,161,0
M872,34.2,438,1
M867,97.8,258,1
M394,62.7,144,0
M808,47.5,16,1
M015,29.4,431,1
M208,40.6,157,1
M871,16.2,311,0
M482,91.8,198,0
M532,90.1,141,0
M479,92.9,192,1
M782,59.1,367,0
M869,42.7,111,0
M009,90.6,114,0
M036,21.0,287,0
M236,37.1,204,0
M482,27.4,330,0
M894,79.1,26,0
M048,16.6,454,0
M074,50.1,477,1
M306,29.7,233,0
M080,30.8,181,0
M093,67.9,475,1
M272,90.6,91,1
M786,93.9,173,1
M560,74.8,130,0
M667,67.6,377,0
M316,69.3,476,1
M473,30.1,73,0
M365,84.6,26,1
M569,58.3,392,1
M709,61.3,274,1
M544,27.0,50,0
M727,71.4,219,1
M045,49.1,225,1
M644,27.4,47,1
M577,85.2,110,0
M830,88.4,140,0
M061,44.9,441,0
M728,97.6,352,0
M822,94.5,130,0
M961,55.8,131,0
M967,72.9,257,0
M701,98.5,24,1
M084,47.9,425,0
M038,67.8,120,1
M237,17.6,33,0
M128,81.3,458,1
M524,56.8,426,0
M198,92.8,237,0
M793,31.7,353,0
M500,66.0,118,1
M626,38.6,83,1
M522,80.8,398,1
M783,99.6,312,0
M075,39.2,45,0
M228,41.2,459,1
M096,58.4,413,1
M362,92.7,128,1
M568,20.1,95,1
M526,63.3,74,0
M768,17.7,410,0
M779,64.0,404,1
M415,96.9,368,1
M516,11.4,30,0
M382,28.2,214,1
M035,14.4,333,0
M583,49.7,356,1
M209,91.2,373,0
M697,14.7,113,0
M365,82.5,405,1
M458,31.3,43,0
M704,40.1,187,0
M737,22.3,138,0
M409,73.3,233,1
M252,22.2,300,1
M047,40.0,407,0
M920,42.8,40,1
M646,13.3,151,0
M571,44.8,227,0
M814,94.2,383,1
M225,82.1,281,0
M588,16.5,82,0
M087,68.9,462,1
M641,90.1,186,1
M803,21.1,146,0
M609,74.9,280,0
M447,51.3,354,0
M158,23.2,157,0
M950,33.8,171,1
M669,94.0,319,1
M221,26.3,445,1
M019,79.3,358,1
M428,27.1,275,1
M415,63.5,200,1
M745,20.0,26,1
M359,37.6,134,1
M474,92.3,253,0
M328,73.7,398,0
M316,70.2,367,0
M179,60.0,421,1
M351,68.8,392,1
M089,83.0,405,0
M968,80.7,95,0
M945,70.0,411,0
M746,79.5,280,0
M713,90.7,172,0
M990,78.6,418,1
M729,63.5,307,0
M134,20.9,279,1
M639,32.3,232,1
M613,27.8,22,1
M821,39.0,174,1
M848,70.7,251,0
M666,21.5,22,1
M549,21.4,427,1
M927,93.4,81,1
M476,10.7,356,0
M822,41.6,97,0
M347,75.6,298,1
M632,42.8,328,1
M649,53.0,182,1
M464,71.3,15,0
M299,75.3,335,1
M502,87.7,227,1
M907,97.1,79,1
M514,69.5,366,0
M578,48.0,451,1
M332,17.9,49,1
M989,52.1,349,0
M143,49.3,89,0
M495,97.3,227,1
M929,25.5,129,0
M413,58.6,205,1
M634,99.7,282,1
M656,18.3,114,0
M232,18.7,197,1
M044,42.1,278,0
M843,45.6,12,0
M076,54.1,313,0
M160,90.9,174,0
M427,46.9,324,1
M027,39.8,166,0
M283,16.1,61,1
M424,79.9,444,0
M180,99.3,225,1
M887,74.3,255,0
M363,82.4,316,0
M230,35.0,308,0
M347,54.1,125,1
M375,97.6,110,1
M882,80.4,219,1
M471,46.5,300,1
M833,24.7,263,1
M147,54.7,217,1
M484,64.6,44,1
M341,90.6,172,0
M453,87.8,333,0
M611,50.1,419,1
M161,37.2,191,1
M197,71.2,17,0
M641,64.6,177,1
M818,66.5,145,1
M583,26.0,428,0
M049,15.9,419,0
M952,79.6,32,1
M506,99.0,388,0
M406,88.2,30,1
M755,34.5,17,0
M001,91.1,188,1
M156,77.7,176,1
M531,58.0,409,1
M403,45.7,170,1
M713,83.1,235,0
M365,10.5,331,0
M229,21.1,134,1
M161,61.2,76,0
M928,14.3,100,0
M938,71.3,53,1
M126,97.7,338,1
M303,98.3,85,1
M388,77.9,107,0
M321,51.8,298,0
M108,14.6,409,0
M192,19.6,207,0
M737,79.1,247,1
M533,54.8,27,1
M287,39.4,317,0
M763,80.2,77,1
M116,45.9,142,1
M689,76.0,337,0
M392,25.4,196,0
M828,92.9,57,0
M729,12.0,107,1
M295,32.5,426,0
M354,53.1,243,1
M600,52.0,167,1
M014,68.1,442,1
M967,48.5,450,1
M388,15.0,256,0
M520,86.4,274,1
M129,99.7,93,0
M451,41.7,114,0
M985,66.0,276,0
M754,18.1,288,0
M822,32.7,192,1
M998,87.6,254,1
M054,41.9,302,0
M606,87.1,20,1
M492,37.0,439,0
M966,38.2,278,1
M358,20.6,358,0
M544,38.8,407,1
M928,83.3,10,0
M005,50.3,455,0
M202,94.3,116,0
M738,42.7,239,1
M691,75.6,29,0
M960,85.5,401,0
M374,61.7,290,1
M774,64.3,269,0
M186,77.3,103,0
M773,52.4,46,1
M757,46.7,20,0
M305,18.1,341,1
M071,76.0,390,0
M199,49.5,173,0
M998,73.2,28,0
M261,26.6,237,1
M423,23.2,133,0
M492,20.1,163,0
M087,17.6,470,0
M585,29.3,291,1
M963,75.9,410,1
M698,59.5,87,0
M870,69.1,433,1
M415,69.5,217,0
M209,66.8,319,0
M835,73.5,143,0
M216,58.4,295,0
M927,64.8,113,0
M965,17.7,471,1
M806,62.3,423,0
M606,15.3,278,1
M967,31.0,79,1
M527,24.3,287,1
M042,77.3,401,0
M093,73.0,375,1
M851,13.1,141,1
M561,47.2,64,1
M952,94.6,154,1
M295,83.9,233,1
M008,36.6,114,1
M313,57.1,310,0
M952,39.5,442,1
M302,35.9,163,0
M193,25.0,136,1
M653,83.9,344,0
M887,94.7,386,0
M911,16.8,13,0
M356,43.1,112,0
M839,20.1,187,0
M961,56.5,375,1
M517,72.8,208,0
M827,12.5,358,0
M560,11.8,361,1
M413,37.1,244,1
M759,85.6,39,1
M037,91.2,165,1
M085,21.9,145,0
M406,72.7,170,1
M213,19.1,77,0
M505,80.4,465,0
M434,61.4,477,0
M381,11.8,437,1
M646,81.0,153,0
M432,73.6,470,1
M645,86.6,147,1
M111,82.9,258,0
M567,34.1,156,0
M465,87.6,460,0
M858,75.2,184,0
M296,30.5,207,0
M782,68.0,17,1
M394,15.6,64,0
M819,30.7,304,0
M293,23.2,128,0
M093,68.0,53,0
M575,90.3,350,0
M460,54.4,229,1
M497,34.5,239,0
M074,92.8,435,1
M993,43.1,217,0
M502,66.7,178,0
M169,48.4,225,0
M586,68.0,369,1
M232,69.5,74,1
M472,13.2,29,0
M062,65.4,244,1
M366,41.5,217,0
M501,74.8,321,1
M550,45.7,138,1
M151,72.1,97,1
M761,69.2,235,0
M381,96.1,377,1
M789,44.5,320,0
M096,55.6,395,0
M457,29.6,27,1
M301,73.2,106,1
M421,83.4,178,1
M646,67.8,143,1
M636,77.6,408,1
M208,68.7,206,1
M034,48.4,69,0
M142,65.4,316,1
M194,59.7,272,1
M981,12.2,321,1
M798,54.3,14,0
M796,36.8,380,1
M700,98.9,426,1
M554,86.5,467,1
M046,79.6,376,1
M954,27.3,100,1
M091,16.0,303,0
M417,59.2,51,1
M610,54.6,170,1
M043,29.4,54,0
M463,54.5,299,1
M414,15.0,285,0
M111,25.0,425,1
M582,83.8,206,0
M176,66.7,136,1
M874,72.1,188,1
M998,58.1,356,0
M333,28.1,64,1
M516,94.3,271,1
M267,46.7,159,0
M128,43.6,177,1
M291,11.1,464,0
M946,56.1,302,0
M618,95.1,211,0
M291,11.9,20,0
M663,50.9,202,1
M097,87.5,465,1
M098,12.1,120,0
M221,62.0,143,1
M482,75.5,158,1
M577,13.2,444,1
M410,34.5,42,0
M144,12.5,101,0
M288,38.1,306,1
M782,10.3,310,1
M754,90.7,381,0
M780,67.2,37,1
M578,85.9,78,1
M665,23.8,271,0
M102,29.8,260,0
M111,65.3,84,1
M535,66.4,102,1
M865,42.7,406,0
M906,35.2,68,1
M363,35.0,94,0
M302,47.5,466,0
M456,28.9,174,1
M537,82.2,479,1
M348,54.0,443,0
M641,62.7,470,1
M486,38.5,139,0
M622,42.3,199,0
M304,26.9,85,0
M681,15.3,102,0
M702,16.4,165,1
M449,76.6,334,0
M098,22.6,480,1
M784,46.7,439,0
M982,25.6,302,1
M824,87.0,274,1
M443,44.7,14,1
M919,44.9,187,0
M537,82.1,142,1
M094,20.2,45,1
M149,59.7,293,0
M546,28.3,317,1
M471,17.4,315,1
M678,63.8,378,1
M618,25.7,230,1
M454,70.1,58,0
M153,69.0,322,1
M085,55.7,478,1
M775,43.0,432,0
M034,66.1,391,0
M550,71.7,301,0
M394,89.0,307,1
M930,51.9,419,0
M812,20.9,334,1
M550,26.8,312,0
M039,34.6,253,0
M756,70.6,249,0
M190,10.8,452,1
M856,60.1,167,1
M215,73.7,56,1
M290,89.1,172,0
M759,68.9,367,1
M296,22.9,155,1
M612,12.7,399,1
M510,25.6,118,0
M533,98.3,330,0
M934,35.5,356,0
M660,22.7,339,1
M414,12.8,457,1
M774,73.6,100,0
M634,39.6,371,0
M809,10.1,327,0
M180,74.7,311,1
M842,79.0,178,1
M994,82.3,19,1
M760,55.6,152,0
M122,58.0,322,1
M286,72.7,137,0
M739,18.0,296,1
M281,87.9,71,1
M657,67.7,22,0
M117,21.6,439,1
M736,56.4,364,0
M963,78.3,33,0
M572,93.8,296,1
M523,53.8,154,0
M880,80.0,26,0
M177,95.9,168,1
M875,83.9,462,1
M059,80.4,381,1
M168,37.9,467,0
M299,59.0,62,0
M138,37.5,358,0
M682,37.1,318,1
M291,49.8,102,0
M730,62.8,461,0
M120,83.5,41,1
M183,52.8,242,1
M638,67.3,110,1
M239,83.8,352,0
M701,45.6,28,1
M760,92.7,410,1
M062,61.1,72,1
M138,31.7,409,0
M554,71.4,207,1
M168,15.9,418,0
M236,79.3,472,0
M125,12.4,402,0
M361,82.2,394,0
M314,33.5,374,1
M491,53.5,313,1
M007,86.2,368,0
M197,36.9,373,0
M934,76.9,296,0
M592,99.9,392,1
M260,71.7,467,0
M493,32.4,349,0
M422,45.4,438,1
M567,95.0,308,0
M387,65.2,271,0
M874,60.8,150,0
M053,47.9,125,1
M068,59.2,424,0
M524,66.9,331,1
M354,15.1,103,1
M483,62.9,222,0
M876,43.2,463,0
M952,67.2,276,0
M184,11.2,464,1
M298,66.7,300,0
M533,45.1,313,0
M488,78.2,191,1
M165,15.0,365,0
M789,64.1,479,0
M863,73.7,242,0
M161,66.3,262,1
M998,14.0,469,1
M159,31.4,415,0
